Running ./shock1d.py

Starting from step 0
--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              lassen801
  Local adapter:           mlx5_1
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   lassen801
  Local device: mlx5_1
--------------------------------------------------------------------------
[lassen801:118761] mca_base_component_repository_open: unable to open mca_pml_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
[1612556763.492658] [lassen801:118761:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[lassen801:118761] mca_base_component_repository_open: unable to open mca_coll_ibm: libcollectives.so.3: cannot open shared object file: No such file or directory (ignored)
[lassen801:118761] mca_base_component_repository_open: unable to open mca_osc_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
Shock capturing parameters: alpha 0.1, s0 -7.0, kappa 0.5
Time step estimate 4.2819136230110855e-07

Viscous timestep estimate 2.856253464975275e-07

4482 elements
rank 0: sent all mesh partitions
Making discretization
Initializing soln.
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'pressure': 'Pa'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'temperature': 'K'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'mass': 'kg/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'energy': 'J/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'momentum': 'kg*m/s/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
./shock1d.py:330: DeprecationWarning: DGDiscretizationWithBoundaries.order is deprecated, consider using the orders of element groups instead. 'order' will go away in 2021.
  visualizer = make_visualizer(discr, discr.order)
Initialization for Case(y0euler)
===
Num 2d order-1 elements: 4482
Num global elements: 4482
Timestep:        2.5e-07
Final time:      0.0003
CFL:             1.0
Constant CFL:    False
Initialization:  pseudoY0
EOS:             IdealSingleGas

Stepping.
Status: step=0 t=0
------- P(100, 438)
------- T(298, 450)
------- dt=2.5e-07 cfl=1.0
------- errors=0.00165, 793, 1.13, 0
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
step.max=0 | t_sim.max=0 | t_step.max=8.4734 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=844.125
step.max=314 | t_sim.max=7.85e-05 | t_step.max=1.09975 | min_pressure=100 | max_pressure=480.159 | min_temperature=297.995 | max_temperature=459.34 | memory_usage.max=1413.62
step.max=315 | t_sim.max=7.875e-05 | t_step.max=1.09963 | min_pressure=100 | max_pressure=480.14 | min_temperature=297.995 | max_temperature=459.334 | memory_usage.max=1413.62
step.max=316 | t_sim.max=7.9e-05 | t_step.max=1.09997 | min_pressure=100 | max_pressure=480.122 | min_temperature=297.995 | max_temperature=459.327 | memory_usage.max=1416.12
step.max=317 | t_sim.max=7.925e-05 | t_step.max=1.09983 | min_pressure=100 | max_pressure=480.103 | min_temperature=297.995 | max_temperature=459.321 | memory_usage.max=1416.12
step.max=318 | t_sim.max=7.95e-05 | t_step.max=1.1003 | min_pressure=100 | max_pressure=480.085 | min_temperature=297.995 | max_temperature=459.314 | memory_usage.max=1416.12
step.max=319 | t_sim.max=7.975e-05 | t_step.max=1.1002 | min_pressure=100 | max_pressure=480.067 | min_temperature=297.995 | max_temperature=459.308 | memory_usage.max=1420.25
step.max=320 | t_sim.max=8e-05 | t_step.max=1.10184 | min_pressure=100 | max_pressure=480.048 | min_temperature=297.995 | max_temperature=459.301 | memory_usage.max=1420.25
step.max=321 | t_sim.max=8.025e-05 | t_step.max=1.09949 | min_pressure=100 | max_pressure=480.03 | min_temperature=297.995 | max_temperature=459.295 | memory_usage.max=1424.25
step.max=322 | t_sim.max=8.05e-05 | t_step.max=1.09944 | min_pressure=100 | max_pressure=480.012 | min_temperature=297.995 | max_temperature=459.289 | memory_usage.max=1424.25
step.max=323 | t_sim.max=8.075e-05 | t_step.max=1.09953 | min_pressure=100 | max_pressure=479.993 | min_temperature=297.995 | max_temperature=459.283 | memory_usage.max=1424.25
step.max=324 | t_sim.max=8.1e-05 | t_step.max=1.10037 | min_pressure=100 | max_pressure=479.975 | min_temperature=297.995 | max_temperature=459.276 | memory_usage.max=1427.88
step.max=325 | t_sim.max=8.125e-05 | t_step.max=1.10006 | min_pressure=100 | max_pressure=479.957 | min_temperature=297.995 | max_temperature=459.27 | memory_usage.max=1427.88
step.max=326 | t_sim.max=8.15e-05 | t_step.max=1.1004 | min_pressure=100 | max_pressure=479.938 | min_temperature=297.995 | max_temperature=459.264 | memory_usage.max=1432
step.max=327 | t_sim.max=8.175e-05 | t_step.max=1.09995 | min_pressure=100 | max_pressure=479.92 | min_temperature=297.995 | max_temperature=459.258 | memory_usage.max=1432
step.max=328 | t_sim.max=8.2e-05 | t_step.max=1.09981 | min_pressure=100 | max_pressure=479.902 | min_temperature=297.995 | max_temperature=459.252 | memory_usage.max=1432
step.max=329 | t_sim.max=8.225e-05 | t_step.max=1.10065 | min_pressure=100 | max_pressure=479.884 | min_temperature=297.995 | max_temperature=459.246 | memory_usage.max=1436.12
step.max=330 | t_sim.max=8.25e-05 | t_step.max=1.09971 | min_pressure=100 | max_pressure=479.866 | min_temperature=297.995 | max_temperature=459.24 | memory_usage.max=1438.25
step.max=331 | t_sim.max=8.275e-05 | t_step.max=1.0998 | min_pressure=100 | max_pressure=479.847 | min_temperature=297.69 | max_temperature=459.234 | memory_usage.max=1438.62
step.max=332 | t_sim.max=8.3e-05 | t_step.max=1.09973 | min_pressure=100 | max_pressure=479.829 | min_temperature=297.311 | max_temperature=459.228 | memory_usage.max=1438.62
step.max=333 | t_sim.max=8.325e-05 | t_step.max=1.1007 | min_pressure=100 | max_pressure=479.811 | min_temperature=297.193 | max_temperature=459.223 | memory_usage.max=1442.56
step.max=334 | t_sim.max=8.35e-05 | t_step.max=1.09988 | min_pressure=100 | max_pressure=479.793 | min_temperature=297.507 | max_temperature=459.217 | memory_usage.max=1442.56
step.max=335 | t_sim.max=8.375e-05 | t_step.max=1.09963 | min_pressure=100 | max_pressure=479.775 | min_temperature=297.995 | max_temperature=459.211 | memory_usage.max=1442.56
step.max=336 | t_sim.max=8.4e-05 | t_step.max=1.10007 | min_pressure=100 | max_pressure=479.757 | min_temperature=297.995 | max_temperature=459.205 | memory_usage.max=1446.62
step.max=337 | t_sim.max=8.425e-05 | t_step.max=1.09986 | min_pressure=100 | max_pressure=479.739 | min_temperature=297.995 | max_temperature=459.2 | memory_usage.max=1446.62
step.max=338 | t_sim.max=8.45e-05 | t_step.max=1.10001 | min_pressure=100 | max_pressure=479.721 | min_temperature=297.453 | max_temperature=459.194 | memory_usage.max=1450.75
step.max=339 | t_sim.max=8.475e-05 | t_step.max=1.10295 | min_pressure=100 | max_pressure=479.703 | min_temperature=296.845 | max_temperature=459.188 | memory_usage.max=1450.75
step.max=340 | t_sim.max=8.5e-05 | t_step.max=1.09934 | min_pressure=100 | max_pressure=479.685 | min_temperature=296.366 | max_temperature=459.183 | memory_usage.max=1454
step.max=341 | t_sim.max=8.525e-05 | t_step.max=1.09923 | min_pressure=100 | max_pressure=479.667 | min_temperature=296.166 | max_temperature=459.177 | memory_usage.max=1454
step.max=342 | t_sim.max=8.55e-05 | t_step.max=1.09902 | min_pressure=100 | max_pressure=479.65 | min_temperature=296.436 | max_temperature=459.172 | memory_usage.max=1454
step.max=343 | t_sim.max=8.575e-05 | t_step.max=1.09881 | min_pressure=100 | max_pressure=479.632 | min_temperature=297.394 | max_temperature=459.166 | memory_usage.max=1458.12
step.max=344 | t_sim.max=8.6e-05 | t_step.max=1.09913 | min_pressure=100 | max_pressure=479.614 | min_temperature=297.995 | max_temperature=459.161 | memory_usage.max=1458.12
step.max=345 | t_sim.max=8.625e-05 | t_step.max=1.09923 | min_pressure=100 | max_pressure=479.596 | min_temperature=297.464 | max_temperature=459.156 | memory_usage.max=1458.12
step.max=346 | t_sim.max=8.65e-05 | t_step.max=1.1157 | min_pressure=100 | max_pressure=479.578 | min_temperature=296.735 | max_temperature=459.15 | memory_usage.max=1462.25
step.max=347 | t_sim.max=8.675e-05 | t_step.max=1.10642 | min_pressure=100 | max_pressure=479.561 | min_temperature=296.028 | max_temperature=459.145 | memory_usage.max=1463.81
step.max=348 | t_sim.max=8.7e-05 | t_step.max=1.09982 | min_pressure=100 | max_pressure=479.543 | min_temperature=295.457 | max_temperature=459.14 | memory_usage.max=1466.38
step.max=349 | t_sim.max=8.725e-05 | t_step.max=1.09961 | min_pressure=100 | max_pressure=479.525 | min_temperature=295.191 | max_temperature=459.134 | memory_usage.max=1466.69
step.max=350 | t_sim.max=8.75e-05 | t_step.max=1.21469 | min_pressure=100 | max_pressure=479.508 | min_temperature=295.441 | max_temperature=459.129 | memory_usage.max=1469.5
step.max=351 | t_sim.max=8.775e-05 | t_step.max=1.09903 | min_pressure=100 | max_pressure=479.49 | min_temperature=296.448 | max_temperature=459.124 | memory_usage.max=1473.56
step.max=352 | t_sim.max=8.8e-05 | t_step.max=1.09807 | min_pressure=100 | max_pressure=479.473 | min_temperature=297.618 | max_temperature=459.119 | memory_usage.max=1473.56
step.max=353 | t_sim.max=8.825e-05 | t_step.max=1.09826 | min_pressure=100 | max_pressure=479.455 | min_temperature=296.855 | max_temperature=459.114 | memory_usage.max=1473.56
step.max=354 | t_sim.max=8.85e-05 | t_step.max=1.09929 | min_pressure=100 | max_pressure=479.438 | min_temperature=296.032 | max_temperature=459.108 | memory_usage.max=1477.62
step.max=355 | t_sim.max=8.875e-05 | t_step.max=1.10002 | min_pressure=100 | max_pressure=479.42 | min_temperature=295.23 | max_temperature=459.103 | memory_usage.max=1477.62
step.max=356 | t_sim.max=8.9e-05 | t_step.max=1.10184 | min_pressure=100 | max_pressure=479.403 | min_temperature=294.579 | max_temperature=459.098 | memory_usage.max=1477.62
step.max=357 | t_sim.max=8.925e-05 | t_step.max=1.09944 | min_pressure=100 | max_pressure=479.385 | min_temperature=294.265 | max_temperature=459.093 | memory_usage.max=1481.75
step.max=358 | t_sim.max=8.95e-05 | t_step.max=1.09985 | min_pressure=100 | max_pressure=479.368 | min_temperature=294.524 | max_temperature=459.088 | memory_usage.max=1481.75
step.max=359 | t_sim.max=8.975e-05 | t_step.max=1.09983 | min_pressure=100 | max_pressure=479.351 | min_temperature=295.618 | max_temperature=459.083 | memory_usage.max=1485.31
step.max=360 | t_sim.max=9e-05 | t_step.max=1.09959 | min_pressure=100 | max_pressure=479.333 | min_temperature=297.102 | max_temperature=459.078 | memory_usage.max=1485.31
step.max=361 | t_sim.max=9.025e-05 | t_step.max=1.09977 | min_pressure=100 | max_pressure=479.316 | min_temperature=296.251 | max_temperature=459.073 | memory_usage.max=1485.31
step.max=362 | t_sim.max=9.05e-05 | t_step.max=1.0993 | min_pressure=100 | max_pressure=479.299 | min_temperature=295.335 | max_temperature=459.069 | memory_usage.max=1489.44
step.max=363 | t_sim.max=9.075e-05 | t_step.max=1.09983 | min_pressure=100 | max_pressure=479.282 | min_temperature=294.443 | max_temperature=459.064 | memory_usage.max=1489.44
step.max=364 | t_sim.max=9.1e-05 | t_step.max=1.09985 | min_pressure=100 | max_pressure=479.264 | min_temperature=293.724 | max_temperature=459.059 | memory_usage.max=1489.44
step.max=365 | t_sim.max=9.125e-05 | t_step.max=1.10069 | min_pressure=100 | max_pressure=479.247 | min_temperature=293.386 | max_temperature=459.054 | memory_usage.max=1489.44
step.max=366 | t_sim.max=9.15e-05 | t_step.max=1.10001 | min_pressure=100 | max_pressure=479.23 | min_temperature=293.688 | max_temperature=459.049 | memory_usage.max=1494.19
step.max=367 | t_sim.max=9.175e-05 | t_step.max=1.09998 | min_pressure=100 | max_pressure=479.213 | min_temperature=294.914 | max_temperature=459.044 | memory_usage.max=1495.5
step.max=368 | t_sim.max=9.2e-05 | t_step.max=1.10036 | min_pressure=100 | max_pressure=479.196 | min_temperature=296.584 | max_temperature=459.04 | memory_usage.max=1495.5
step.max=369 | t_sim.max=9.225e-05 | t_step.max=1.09986 | min_pressure=99.8383 | max_pressure=479.179 | min_temperature=295.643 | max_temperature=459.035 | memory_usage.max=1495.5
step.max=370 | t_sim.max=9.25e-05 | t_step.max=1.10037 | min_pressure=99.5788 | max_pressure=479.162 | min_temperature=294.634 | max_temperature=459.03 | memory_usage.max=1499.56
step.max=371 | t_sim.max=9.275e-05 | t_step.max=1.09994 | min_pressure=99.55 | max_pressure=479.145 | min_temperature=293.661 | max_temperature=459.026 | memory_usage.max=1499.56
step.max=372 | t_sim.max=9.3e-05 | t_step.max=1.1 | min_pressure=99.8969 | max_pressure=479.128 | min_temperature=292.891 | max_temperature=459.021 | memory_usage.max=1503.69
step.max=373 | t_sim.max=9.325e-05 | t_step.max=1.0995 | min_pressure=100 | max_pressure=479.111 | min_temperature=292.556 | max_temperature=459.016 | memory_usage.max=1503.69
step.max=374 | t_sim.max=9.35e-05 | t_step.max=1.10022 | min_pressure=100 | max_pressure=479.094 | min_temperature=292.941 | max_temperature=459.012 | memory_usage.max=1503.69
step.max=375 | t_sim.max=9.375e-05 | t_step.max=1.09984 | min_pressure=100 | max_pressure=479.077 | min_temperature=294.353 | max_temperature=459.007 | memory_usage.max=1507.75
step.max=376 | t_sim.max=9.4e-05 | t_step.max=1.09999 | min_pressure=99.6763 | max_pressure=479.06 | min_temperature=296.056 | max_temperature=459.003 | memory_usage.max=1507.75
step.max=377 | t_sim.max=9.425e-05 | t_step.max=1.10039 | min_pressure=99.2554 | max_pressure=479.043 | min_temperature=295.023 | max_temperature=458.998 | memory_usage.max=1511
step.max=378 | t_sim.max=9.45e-05 | t_step.max=1.10006 | min_pressure=98.9699 | max_pressure=479.026 | min_temperature=293.924 | max_temperature=458.994 | memory_usage.max=1511
step.max=379 | t_sim.max=9.475e-05 | t_step.max=1.0996 | min_pressure=98.9397 | max_pressure=479.01 | min_temperature=292.88 | max_temperature=458.989 | memory_usage.max=1511
step.max=380 | t_sim.max=9.5e-05 | t_step.max=1.10011 | min_pressure=99.3235 | max_pressure=478.993 | min_temperature=292.078 | max_temperature=458.985 | memory_usage.max=1515.06
step.max=381 | t_sim.max=9.525e-05 | t_step.max=1.09981 | min_pressure=100 | max_pressure=478.976 | min_temperature=291.78 | max_temperature=458.98 | memory_usage.max=1515.06
step.max=382 | t_sim.max=9.55e-05 | t_step.max=1.09963 | min_pressure=100 | max_pressure=478.959 | min_temperature=292.297 | max_temperature=458.976 | memory_usage.max=1519.19
step.max=383 | t_sim.max=9.575e-05 | t_step.max=1.10463 | min_pressure=99.6656 | max_pressure=478.943 | min_temperature=293.953 | max_temperature=458.971 | memory_usage.max=1519.19
step.max=384 | t_sim.max=9.6e-05 | t_step.max=1.09974 | min_pressure=99.1524 | max_pressure=478.926 | min_temperature=295.51 | max_temperature=458.967 | memory_usage.max=1522.19
step.max=385 | t_sim.max=9.625e-05 | t_step.max=1.10109 | min_pressure=98.6985 | max_pressure=478.909 | min_temperature=294.384 | max_temperature=458.962 | memory_usage.max=1522.81
step.max=386 | t_sim.max=9.65e-05 | t_step.max=1.09989 | min_pressure=98.3989 | max_pressure=478.893 | min_temperature=293.199 | max_temperature=458.958 | memory_usage.max=1522.81
step.max=387 | t_sim.max=9.675e-05 | t_step.max=1.0994 | min_pressure=98.3858 | max_pressure=478.876 | min_temperature=292.096 | max_temperature=458.954 | memory_usage.max=1525.69
step.max=388 | t_sim.max=9.7e-05 | t_step.max=1.09938 | min_pressure=98.8328 | max_pressure=478.86 | min_temperature=291.29 | max_temperature=458.949 | memory_usage.max=1525.69
step.max=389 | t_sim.max=9.725e-05 | t_step.max=1.09933 | min_pressure=99.9532 | max_pressure=478.843 | min_temperature=291.069 | max_temperature=458.945 | memory_usage.max=1529.81
step.max=390 | t_sim.max=9.75e-05 | t_step.max=1.09869 | min_pressure=99.7472 | max_pressure=478.827 | min_temperature=291.773 | max_temperature=458.941 | memory_usage.max=1529.81
step.max=391 | t_sim.max=9.775e-05 | t_step.max=1.09892 | min_pressure=99.1944 | max_pressure=478.81 | min_temperature=293.739 | max_temperature=458.937 | memory_usage.max=1529.81
step.max=392 | t_sim.max=9.8e-05 | t_step.max=1.10209 | min_pressure=98.6429 | max_pressure=478.794 | min_temperature=294.938 | max_temperature=458.932 | memory_usage.max=1533.94
step.max=393 | t_sim.max=9.825e-05 | t_step.max=1.11491 | min_pressure=98.1643 | max_pressure=478.777 | min_temperature=293.719 | max_temperature=458.928 | memory_usage.max=1536.06
step.max=394 | t_sim.max=9.85e-05 | t_step.max=1.09928 | min_pressure=97.8645 | max_pressure=478.761 | min_temperature=292.455 | max_temperature=458.924 | memory_usage.max=1536.81
step.max=395 | t_sim.max=9.875e-05 | t_step.max=1.09943 | min_pressure=97.8898 | max_pressure=478.744 | min_temperature=291.312 | max_temperature=458.92 | memory_usage.max=1536.81
step.max=396 | t_sim.max=9.9e-05 | t_step.max=1.09927 | min_pressure=98.4302 | max_pressure=478.728 | min_temperature=290.532 | max_temperature=458.915 | memory_usage.max=1540.62
step.max=397 | t_sim.max=9.925e-05 | t_step.max=1.09894 | min_pressure=99.7164 | max_pressure=478.712 | min_temperature=290.437 | max_temperature=458.911 | memory_usage.max=1540.69
step.max=398 | t_sim.max=9.95e-05 | t_step.max=1.09931 | min_pressure=99.3239 | max_pressure=478.695 | min_temperature=291.392 | max_temperature=458.907 | memory_usage.max=1540.69
step.max=399 | t_sim.max=9.975e-05 | t_step.max=1.09889 | min_pressure=98.729 | max_pressure=478.679 | min_temperature=293.738 | max_temperature=458.903 | memory_usage.max=1544.81
step.max=400 | t_sim.max=0.0001 | t_step.max=1.21541 | min_pressure=98.1444 | max_pressure=478.663 | min_temperature=294.336 | max_temperature=458.899 | memory_usage.max=1544.81
step.max=401 | t_sim.max=0.00010025 | t_step.max=1.10209 | min_pressure=97.6511 | max_pressure=478.647 | min_temperature=293.024 | max_temperature=458.895 | memory_usage.max=1554
step.max=402 | t_sim.max=0.0001005 | t_step.max=1.09929 | min_pressure=97.3677 | max_pressure=478.63 | min_temperature=291.692 | max_temperature=458.891 | memory_usage.max=1554.06
step.max=403 | t_sim.max=0.00010075 | t_step.max=1.0993 | min_pressure=97.4563 | max_pressure=478.614 | min_temperature=290.53 | max_temperature=458.887 | memory_usage.max=1554.06
step.max=404 | t_sim.max=0.000101 | t_step.max=1.09942 | min_pressure=98.1249 | max_pressure=478.598 | min_temperature=289.817 | max_temperature=458.882 | memory_usage.max=1554.06
step.max=405 | t_sim.max=0.00010125 | t_step.max=1.09966 | min_pressure=99.4996 | max_pressure=478.582 | min_temperature=289.906 | max_temperature=458.878 | memory_usage.max=1557.56
step.max=406 | t_sim.max=0.0001015 | t_step.max=1.09896 | min_pressure=98.9011 | max_pressure=478.566 | min_temperature=291.182 | max_temperature=458.874 | memory_usage.max=1557.56
step.max=407 | t_sim.max=0.00010175 | t_step.max=1.10049 | min_pressure=98.2669 | max_pressure=478.55 | min_temperature=293.983 | max_temperature=458.87 | memory_usage.max=1557.56
step.max=408 | t_sim.max=0.000102 | t_step.max=1.09969 | min_pressure=97.6571 | max_pressure=478.534 | min_temperature=293.699 | max_temperature=458.866 | memory_usage.max=1561.69
step.max=409 | t_sim.max=0.00010225 | t_step.max=1.10039 | min_pressure=97.163 | max_pressure=478.518 | min_temperature=292.301 | max_temperature=458.862 | memory_usage.max=1561.75
step.max=410 | t_sim.max=0.0001025 | t_step.max=1.09932 | min_pressure=96.9152 | max_pressure=478.502 | min_temperature=290.914 | max_temperature=458.858 | memory_usage.max=1565.81
step.max=411 | t_sim.max=0.00010275 | t_step.max=1.09969 | min_pressure=97.0946 | max_pressure=478.486 | min_temperature=289.762 | max_temperature=458.854 | memory_usage.max=1565.81
step.max=412 | t_sim.max=0.000103 | t_step.max=1.09934 | min_pressure=97.9306 | max_pressure=478.47 | min_temperature=289.164 | max_temperature=458.851 | memory_usage.max=1568.25
step.max=413 | t_sim.max=0.00010325 | t_step.max=1.09904 | min_pressure=99.1165 | max_pressure=478.454 | min_temperature=289.503 | max_temperature=458.847 | memory_usage.max=1568.25
step.max=414 | t_sim.max=0.0001035 | t_step.max=1.09945 | min_pressure=98.4749 | max_pressure=478.438 | min_temperature=291.178 | max_temperature=458.843 | memory_usage.max=1568.25
step.max=415 | t_sim.max=0.00010375 | t_step.max=1.10043 | min_pressure=97.807 | max_pressure=478.422 | min_temperature=294.402 | max_temperature=458.839 | memory_usage.max=1568.25
step.max=416 | t_sim.max=0.000104 | t_step.max=1.09987 | min_pressure=97.1809 | max_pressure=478.406 | min_temperature=293.024 | max_temperature=458.835 | memory_usage.max=1572.31
step.max=417 | t_sim.max=0.00010425 | t_step.max=1.09974 | min_pressure=96.7005 | max_pressure=478.39 | min_temperature=291.546 | max_temperature=458.831 | memory_usage.max=1572.31
step.max=418 | t_sim.max=0.0001045 | t_step.max=1.09987 | min_pressure=96.5127 | max_pressure=478.374 | min_temperature=290.126 | max_temperature=458.827 | memory_usage.max=1572.31
step.max=419 | t_sim.max=0.00010475 | t_step.max=1.10014 | min_pressure=96.8161 | max_pressure=478.358 | min_temperature=289.022 | max_temperature=458.823 | memory_usage.max=1575.69
step.max=420 | t_sim.max=0.000105 | t_step.max=1.09982 | min_pressure=97.8643 | max_pressure=478.343 | min_temperature=288.596 | max_temperature=458.819 | memory_usage.max=1575.69
step.max=421 | t_sim.max=0.00010525 | t_step.max=1.09959 | min_pressure=98.724 | max_pressure=478.327 | min_temperature=289.261 | max_temperature=458.816 | memory_usage.max=1579.75
step.max=422 | t_sim.max=0.0001055 | t_step.max=1.10004 | min_pressure=98.0424 | max_pressure=478.311 | min_temperature=291.417 | max_temperature=458.812 | memory_usage.max=1579.75
step.max=423 | t_sim.max=0.00010575 | t_step.max=1.10014 | min_pressure=97.3462 | max_pressure=478.295 | min_temperature=293.78 | max_temperature=458.808 | memory_usage.max=1579.75
step.max=424 | t_sim.max=0.000106 | t_step.max=1.10017 | min_pressure=96.7147 | max_pressure=478.28 | min_temperature=292.305 | max_temperature=458.804 | memory_usage.max=1583.81
step.max=425 | t_sim.max=0.00010625 | t_step.max=1.09945 | min_pressure=96.2666 | max_pressure=478.264 | min_temperature=290.759 | max_temperature=458.8 | memory_usage.max=1586.31
step.max=426 | t_sim.max=0.0001065 | t_step.max=1.09949 | min_pressure=96.1668 | max_pressure=478.248 | min_temperature=289.334 | max_temperature=458.797 | memory_usage.max=1586.81
step.max=427 | t_sim.max=0.00010675 | t_step.max=1.0999 | min_pressure=96.6342 | max_pressure=478.233 | min_temperature=288.327 | max_temperature=458.793 | memory_usage.max=1586.81
step.max=428 | t_sim.max=0.000107 | t_step.max=1.09944 | min_pressure=97.9461 | max_pressure=478.217 | min_temperature=288.144 | max_temperature=458.789 | memory_usage.max=1589.94
step.max=429 | t_sim.max=0.00010725 | t_step.max=1.09944 | min_pressure=98.3193 | max_pressure=478.202 | min_temperature=289.217 | max_temperature=458.785 | memory_usage.max=1589.94
step.max=430 | t_sim.max=0.0001075 | t_step.max=1.10011 | min_pressure=97.6007 | max_pressure=478.186 | min_temperature=291.939 | max_temperature=458.782 | memory_usage.max=1594.06
step.max=431 | t_sim.max=0.00010775 | t_step.max=1.09966 | min_pressure=96.8837 | max_pressure=478.171 | min_temperature=293.109 | max_temperature=458.778 | memory_usage.max=1594.06
step.max=432 | t_sim.max=0.000108 | t_step.max=1.10668 | min_pressure=96.2608 | max_pressure=478.155 | min_temperature=291.541 | max_temperature=458.774 | memory_usage.max=1594.06
step.max=433 | t_sim.max=0.00010825 | t_step.max=1.10051 | min_pressure=95.8676 | max_pressure=478.14 | min_temperature=289.946 | max_temperature=458.771 | memory_usage.max=1598.94
step.max=434 | t_sim.max=0.0001085 | t_step.max=1.09986 | min_pressure=95.889 | max_pressure=478.124 | min_temperature=288.553 | max_temperature=458.767 | memory_usage.max=1598.94
step.max=435 | t_sim.max=0.00010875 | t_step.max=1.09931 | min_pressure=96.5667 | max_pressure=478.109 | min_temperature=287.702 | max_temperature=458.763 | memory_usage.max=1601.19
step.max=436 | t_sim.max=0.000109 | t_step.max=1.09946 | min_pressure=98.2002 | max_pressure=478.093 | min_temperature=287.841 | max_temperature=458.76 | memory_usage.max=1601.19
step.max=437 | t_sim.max=0.00010925 | t_step.max=1.11566 | min_pressure=97.9007 | max_pressure=478.078 | min_temperature=289.414 | max_temperature=458.756 | memory_usage.max=1601.19
step.max=438 | t_sim.max=0.0001095 | t_step.max=1.09973 | min_pressure=97.1491 | max_pressure=478.062 | min_temperature=292.787 | max_temperature=458.752 | memory_usage.max=1606.62
step.max=439 | t_sim.max=0.00010975 | t_step.max=1.09896 | min_pressure=96.4211 | max_pressure=478.047 | min_temperature=292.383 | max_temperature=458.749 | memory_usage.max=1608.19
step.max=440 | t_sim.max=0.00011 | t_step.max=1.10191 | min_pressure=95.8244 | max_pressure=478.032 | min_temperature=290.734 | max_temperature=458.745 | memory_usage.max=1608.19
step.max=441 | t_sim.max=0.00011025 | t_step.max=1.09937 | min_pressure=95.5136 | max_pressure=478.017 | min_temperature=289.116 | max_temperature=458.741 | memory_usage.max=1608.19
step.max=442 | t_sim.max=0.0001105 | t_step.max=1.09916 | min_pressure=95.6951 | max_pressure=478.001 | min_temperature=287.8 | max_temperature=458.738 | memory_usage.max=1611.88
step.max=443 | t_sim.max=0.00011075 | t_step.max=1.09908 | min_pressure=96.6361 | max_pressure=477.986 | min_temperature=287.179 | max_temperature=458.734 | memory_usage.max=1611.88
step.max=444 | t_sim.max=0.000111 | t_step.max=1.09951 | min_pressure=98.2157 | max_pressure=477.971 | min_temperature=287.731 | max_temperature=458.731 | memory_usage.max=1611.88
step.max=445 | t_sim.max=0.00011125 | t_step.max=1.09989 | min_pressure=97.4667 | max_pressure=477.956 | min_temperature=289.898 | max_temperature=458.727 | memory_usage.max=1616
step.max=446 | t_sim.max=0.0001115 | t_step.max=1.09964 | min_pressure=96.6883 | max_pressure=477.94 | min_temperature=293.223 | max_temperature=458.724 | memory_usage.max=1616
step.max=447 | t_sim.max=0.00011175 | t_step.max=1.10027 | min_pressure=95.9622 | max_pressure=477.925 | min_temperature=291.604 | max_temperature=458.72 | memory_usage.max=1620.12
step.max=448 | t_sim.max=0.000112 | t_step.max=1.10006 | min_pressure=95.4137 | max_pressure=477.91 | min_temperature=289.888 | max_temperature=458.716 | memory_usage.max=1622.31
