Running ./shock1d.py

Starting from step 0
Shock capturing parameters: alpha 0.1, s0 -11.0, kappa 0.5
Time step estimate 4.7576818033456516e-08

Viscous timestep estimate 8.662571755935413e-09

4482 elements
step.max=0 | t_sim.max=0 | t_step.max=21.6473 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=513.812
step.max=62 | t_sim.max=3.1e-06 | t_step.max=1.07199 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=621.062
step.max=63 | t_sim.max=3.15e-06 | t_step.max=1.07077 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=625.188
step.max=64 | t_sim.max=3.2e-06 | t_step.max=1.07029 | min_pressure=100 | max_pressure=437.885 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=625.188
step.max=65 | t_sim.max=3.25e-06 | t_step.max=1.07132 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=625.188
step.max=66 | t_sim.max=3.3e-06 | t_step.max=1.07049 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=629.312
step.max=67 | t_sim.max=3.35e-06 | t_step.max=1.07046 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=629.312
step.max=68 | t_sim.max=3.4e-06 | t_step.max=1.07057 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=629.312
step.max=69 | t_sim.max=3.45e-06 | t_step.max=1.07107 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=633.438
step.max=70 | t_sim.max=3.5e-06 | t_step.max=1.07063 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=633.438
step.max=71 | t_sim.max=3.55e-06 | t_step.max=1.07032 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=633.438
step.max=72 | t_sim.max=3.6e-06 | t_step.max=1.07045 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=637.562
step.max=73 | t_sim.max=3.65e-06 | t_step.max=1.07044 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=637.562
step.max=74 | t_sim.max=3.7e-06 | t_step.max=1.07082 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=641.688
step.max=75 | t_sim.max=3.75e-06 | t_step.max=1.07061 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=641.688
step.max=76 | t_sim.max=3.8e-06 | t_step.max=1.07059 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=641.688
step.max=77 | t_sim.max=3.85e-06 | t_step.max=1.07018 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=645.812
step.max=78 | t_sim.max=3.9e-06 | t_step.max=1.07078 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=645.812
step.max=79 | t_sim.max=3.95e-06 | t_step.max=1.07082 | min_pressure=100 | max_pressure=437.886 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=645.812
step.max=80 | t_sim.max=4e-06 | t_step.max=1.07147 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=649.938
step.max=81 | t_sim.max=4.05e-06 | t_step.max=1.0709 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=649.938
step.max=82 | t_sim.max=4.1e-06 | t_step.max=1.07049 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=649.938
step.max=83 | t_sim.max=4.15e-06 | t_step.max=1.07111 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=654.062
step.max=84 | t_sim.max=4.2e-06 | t_step.max=1.06998 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=654.062
step.max=85 | t_sim.max=4.25e-06 | t_step.max=1.07052 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=658.188
step.max=86 | t_sim.max=4.3e-06 | t_step.max=1.07095 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=658.188
step.max=87 | t_sim.max=4.35e-06 | t_step.max=1.07107 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=658.188
step.max=88 | t_sim.max=4.4e-06 | t_step.max=1.07103 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=662.312
step.max=89 | t_sim.max=4.45e-06 | t_step.max=1.07223 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=662.312
step.max=90 | t_sim.max=4.5e-06 | t_step.max=1.07056 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=662.312
step.max=91 | t_sim.max=4.55e-06 | t_step.max=1.07094 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=666.438
step.max=92 | t_sim.max=4.6e-06 | t_step.max=1.07077 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=666.438
step.max=93 | t_sim.max=4.65e-06 | t_step.max=1.0704 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=666.438
step.max=94 | t_sim.max=4.7e-06 | t_step.max=1.07081 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=670.562
step.max=95 | t_sim.max=4.75e-06 | t_step.max=1.07097 | min_pressure=100 | max_pressure=437.887 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=670.562
step.max=96 | t_sim.max=4.8e-06 | t_step.max=1.07107 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=674.688
step.max=97 | t_sim.max=4.85e-06 | t_step.max=1.07089 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=674.688
step.max=98 | t_sim.max=4.9e-06 | t_step.max=1.07051 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=674.688
step.max=99 | t_sim.max=4.95e-06 | t_step.max=1.0703 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=678.812
step.max=100 | t_sim.max=5e-06 | t_step.max=1.07072 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=678.812
step.max=101 | t_sim.max=5.05e-06 | t_step.max=1.07047 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=678.812
step.max=102 | t_sim.max=5.1e-06 | t_step.max=1.0711 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=682.938
step.max=103 | t_sim.max=5.15e-06 | t_step.max=1.0705 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=682.938
step.max=104 | t_sim.max=5.2e-06 | t_step.max=1.07061 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=687.062
step.max=105 | t_sim.max=5.25e-06 | t_step.max=1.07093 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=687.062
step.max=106 | t_sim.max=5.3e-06 | t_step.max=1.07104 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=687.062
step.max=107 | t_sim.max=5.35e-06 | t_step.max=1.07068 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.776 | memory_usage.max=691.188
step.max=108 | t_sim.max=5.4e-06 | t_step.max=1.08424 | min_pressure=100 | max_pressure=437.888 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=691.188
step.max=109 | t_sim.max=5.45e-06 | t_step.max=1.07089 | min_pressure=100 | max_pressure=437.889 | min_temperature=297.995 | max_temperature=449.777 | memory_usage.max=691.188
